"workerid","trial_type","trial_num","name","positive","sentence_type","adjective","referent","gender","noun","response","slider_position","antonym"
0,"interpretation_fiveSliders",1,"Lee","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.49,1,"unattractive"
0,"interpretation_fiveSliders",1,"Alicia","attractive","antonym","unattractive","person","female","level of attractiveness",0.49,2,"unattractive"
0,"interpretation_fiveSliders",1,"Julia","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.49,3,"unattractive"
0,"interpretation_fiveSliders",1,"Stephen","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.49,4,"unattractive"
0,"interpretation_fiveSliders",1,"Jennifer","attractive","positive","attractive","person","female","level of attractiveness",0.49,5,"unattractive"
0,"interpretation_fiveSliders",2,"Claire","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.48,1,"unforgiving"
0,"interpretation_fiveSliders",2,"Monica","forgiving","positive","forgiving","person","female","level of forgivingness",0.48,2,"unforgiving"
0,"interpretation_fiveSliders",2,"John","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.48,3,"unforgiving"
0,"interpretation_fiveSliders",2,"Eric","forgiving","antonym","unforgiving","person","male","level of forgivingness",0.48,4,"unforgiving"
0,"interpretation_fiveSliders",2,"Stephanie","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.48,5,"unforgiving"
0,"interpretation_fiveSliders",3,"Michelle","happy","neg_positive","not happy","person","female","level of happiness",0.13,1,"unhappy"
0,"interpretation_fiveSliders",3,"Lucas","happy","neg_antonym","not unhappy","person","male","level of happiness",0.92,2,"unhappy"
0,"interpretation_fiveSliders",3,"Greg","happy","positive","happy","person","male","level of happiness",0.91,3,"unhappy"
0,"interpretation_fiveSliders",3,"Cameron","happy","antonym","unhappy","person","male","level of happiness",0.05,4,"unhappy"
0,"interpretation_fiveSliders",3,"David","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.49,5,"unhappy"
0,"interpretation_fiveSliders",4,"Angela","interesting","neg_positive","not interesting","person","female","level of interestingness",0.47,1,"uninteresting"
0,"interpretation_fiveSliders",4,"Daniel","interesting","positive","interesting","person","male","level of interestingness",0.47,2,"uninteresting"
0,"interpretation_fiveSliders",4,"William","interesting","antonym","uninteresting","person","male","level of interestingness",0.47,3,"uninteresting"
0,"interpretation_fiveSliders",4,"Kathleen","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","female","level of interestingness",0.47,4,"uninteresting"
0,"interpretation_fiveSliders",4,"Kim","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.46,5,"uninteresting"
0,"interpretation_fiveSliders",5,"Veronica","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.48,1,"impolite"
0,"interpretation_fiveSliders",5,"Michael","polite","neg_positive","not polite","person","male","level of politeness",0.48,2,"impolite"
0,"interpretation_fiveSliders",5,"Anthony","polite","positive","polite","person","male","level of politeness",0.48,3,"impolite"
0,"interpretation_fiveSliders",5,"Melinda","polite","antonym","impolite","person","female","level of politeness",0.47,4,"impolite"
0,"interpretation_fiveSliders",5,"Tom","polite","neg_antonym","not impolite","person","male","level of politeness",0.49,5,"impolite"
0,"interpretation_fiveSliders",6,"Gabriel","intelligent","positive","intelligent","person","male","level of intelligence",0.47,1,"unintelligent"
0,"interpretation_fiveSliders",6,"Alexander","intelligent","neg_antonym","not unintelligent","person","male","level of intelligence",0.47,2,"unintelligent"
0,"interpretation_fiveSliders",6,"Sophia","intelligent","antonym","unintelligent","person","female","level of intelligence",0.46,3,"unintelligent"
0,"interpretation_fiveSliders",6,"Laura","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.48,4,"unintelligent"
0,"interpretation_fiveSliders",6,"Maya","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.46,5,"unintelligent"
1,"interpretation_fiveSliders",1,"Claire","happy","antonym","unhappy","person","female","level of happiness",0.21,1,"unhappy"
1,"interpretation_fiveSliders",1,"Monica","happy","neg_antonym","not unhappy","person","female","level of happiness",0.52,2,"unhappy"
1,"interpretation_fiveSliders",1,"Sophia","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.52,3,"unhappy"
1,"interpretation_fiveSliders",1,"Anthony","happy","positive","happy","person","male","level of happiness",0.79,4,"unhappy"
1,"interpretation_fiveSliders",1,"John","happy","neg_positive","not happy","person","male","level of happiness",0.22,5,"unhappy"
